date,duration(min)
2016-05-16 06:56:40 PM,20
2016-05-16 04:40:32 PM,60
2016-05-16 02:20:03 PM,64
2016-05-16 11:39:18 AM,41
2016-05-16 09:19:41 AM,33
2016-05-16 06:05:53 AM,112
2016-05-16 04:00:13 AM,94
2016-05-15 09:47:51 PM,343
2016-05-15 07:54:19 PM,40
2016-05-15 04:01:50 PM,120
2016-05-15 01:50:32 PM,42
2016-05-15 11:13:01 AM,32
2016-05-15 09:33:47 AM,32
2016-05-15 06:30:06 AM,77
2016-05-15 04:24:40 AM,98
2016-05-14 10:40:44 PM,330
2016-05-14 07:31:07 PM,39
2016-05-14 05:02:17 PM,30
2016-05-14 02:48:16 PM,30
2016-05-14 11:45:19 AM,23
2016-05-14 10:23:12 AM,23
2016-05-14 07:31:35 AM,60
2016-05-14 06:10:55 AM,60
2016-05-14 04:30:24 AM,45
2016-05-13 10:20:04 PM,324
2016-05-13 05:02:23 PM,141
2016-05-13 03:17:59 PM,10
2016-05-13 12:36:27 PM,34
2016-05-13 10:10:20 AM,30
2016-05-13 06:50:12 AM,84
2016-05-13 04:05:35 AM,120
2016-05-12 09:00:14 PM,403
2016-05-12 04:40:52 PM,120
2016-05-12 03:37:35 PM,23
2016-05-12 12:40:17 PM,50
2016-05-12 10:40:47 AM,35
2016-05-12 06:30:08 AM,120
2016-05-12 06:18:29 AM,13
2016-05-12 05:02:27 AM,53
2016-05-12 02:59:50 AM,97
2016-05-11 11:00:12 PM,225
2016-05-11 08:49:04 PM,121
2016-05-11 06:50:34 PM,22
2016-05-11 12:00:44 PM,40
2016-05-11 09:55:57 AM,33
2016-05-11 06:30:11 AM,90
2016-05-11 04:00:02 AM,120
2016-05-10 10:30:28 PM,270
2016-05-10 07:18:44 PM,12
2016-05-10 02:45:01 PM,185
2016-05-10 01:25:09 PM,15
2016-05-10 11:58:21 AM,12
2016-05-10 11:13:00 AM,4
2016-05-10 09:20:21 AM,30
2016-05-10 04:20:01 AM,160
2016-05-09 10:00:13 PM,365
2016-05-09 06:51:13 PM,33
2016-05-09 05:04:19 PM,20
2016-05-09 02:22:32 PM,40
2016-05-09 12:25:53 PM,30
2016-05-09 09:58:00 AM,35
2016-05-09 07:06:38 AM,68
2016-05-09 06:34:39 AM,103
2016-05-09 06:00:31 AM,46
2016-05-09 03:22:25 AM,137
2016-05-08 09:50:50 PM,322
2016-05-08 03:33:49 PM,197
2016-05-08 01:07:15 PM,26
2016-05-08 10:25:18 AM,40
2016-05-08 06:45:49 AM,72
2016-05-07 11:59:54 PM,356
2016-05-07 10:40:18 PM,30
2016-05-07 07:19:48 PM,27
2016-05-07 03:45:11 PM,90
2016-05-07 02:50:45 PM,44
2016-05-07 12:30:51 PM,25
2016-05-07 11:00:23 AM,30
2016-05-07 09:10:41 AM,30
2016-05-07 06:20:04 AM,61
2016-05-06 10:30:21 PM,459
2016-05-06 08:15:41 PM,33
2016-05-06 05:55:33 PM,35
2016-05-06 04:17:31 PM,30
2016-05-06 03:47:27 PM,9
2016-05-06 02:50:32 PM,28
2016-05-06 02:11:35 PM,37
2016-05-06 01:19:13 PM,22
2016-05-06 10:11:20 AM,44
2016-05-06 07:06:10 AM,74
2016-05-06 05:20:46 AM,74
2016-05-06 02:30:48 AM,135
2016-05-05 09:20:25 PM,279
2016-05-05 07:07:44 PM,31
2016-05-05 03:25:50 PM,45
2016-05-05 12:35:45 PM,35
2016-05-05 10:03:04 AM,20
2016-05-05 06:40:56 AM,80
2016-05-05 04:20:18 AM,119
2016-05-04 10:15:53 PM,322
2016-05-04 08:07:05 PM,30
2016-05-04 06:23:48 PM,21
2016-05-04 04:43:47 PM,3
2016-05-04 03:36:00 PM,20
2016-05-04 01:20:47 PM,40
2016-05-04 11:35:32 AM,29
2016-05-04 09:07:52 AM,38
2016-05-04 06:30:54 AM,60
2016-05-04 04:20:12 AM,96
2016-05-04 03:56:18 AM,10
2016-05-03 11:18:57 PM,237
2016-05-03 09:28:22 PM,35
2016-05-03 03:15:43 PM,260
2016-05-03 01:10:11 PM,15
2016-05-03 10:05:36 AM,20
2016-05-03 06:51:41 AM,109
2016-05-03 05:37:59 AM,41
2016-05-02 10:15:04 PM,355
2016-05-02 08:05:08 PM,28
2016-05-02 02:37:00 PM,172
2016-05-02 12:50:00 PM,30
2016-05-02 12:00:00 PM,30
2016-05-02 09:45:00 AM,31
2016-05-02 06:45:00 AM,105
2016-05-02 04:30:00 AM,105
2016-05-02 03:30:00 AM,18
2016-05-01 10:15:00 PM,275
2016-05-01 01:37:00 PM,155
2016-05-01 11:20:35 AM,30
2016-05-01 10:30:00 AM,72
2016-05-01 06:30:00 AM,114
2016-05-01 03:50:00 AM,120
2016-04-30 09:45:00 PM,285
2016-04-30 07:00:00 PM,58
2016-04-30 01:09:00 PM,208
2016-04-30 12:41:26 PM,16
2016-04-30 10:06:00 AM,51
2016-04-30 06:00:00 AM,110
2016-04-29 09:27:00 PM,423
2016-04-29 07:00:00 PM,15
2016-04-29 11:35:00 AM,161
2016-04-29 09:00:12 AM,45
2016-04-29 03:30:58 AM,210
2016-04-28 09:30:29 PM,330
2016-04-28 07:06:34 PM,25
2016-04-28 04:14:14 PM,31
2016-04-28 01:31:35 PM,33
2016-04-28 01:22:21 PM,4
2016-04-28 12:18:27 PM,8
2016-04-28 10:55:21 AM,33
2016-04-28 09:59:55 AM,15
2016-04-28 07:27:17 AM,33
2016-04-28 12:00:14 AM,360
2016-04-27 10:53:00 PM,51
2016-04-27 10:15:00 PM,6
2016-04-27 09:25:00 PM,15
2016-04-27 07:44:00 PM,36
2016-04-27 03:26:00 PM,130
2016-04-27 02:19:00 PM,22
2016-04-27 01:59:01 PM,8
2016-04-27 12:58:00 PM,34
2016-04-27 10:10:00 AM,34
2016-04-27 08:20:00 AM,20
